id_order,id_user,id_tech,id_service,tgl_kunjungan,status_order,biaya_kunjungan,harga_barang,biaya_jasa,total_biaya,foto_kerusakan,foto_nota,rating_nilai,rating_komentar
2012,6,3,6,2026-03-04 15:49:40,Selesai,50000,190000,230000,420000,"https://picsum.photos/seed/krs0.9543923922190645/300/200","https://picsum.photos/seed/nt0.7567927729564266/300/200",5,"Luar biasa, sparepart diganti dengan yang ori."
2013,6,5,5,2025-07-04 13:36:55,Selesai,50000,10000,100000,110000,"https://picsum.photos/seed/krs0.2925463914132038/300/200","https://picsum.photos/seed/nt0.18680159342445457/300/200",5,"Teknisi datang tepat waktu, masalah cepat selesai."
2014,6,2,5,2025-09-10 14:23:47,Selesai,50000,160000,80000,240000,"https://picsum.photos/seed/krs0.04262808500924564/300/200","https://picsum.photos/seed/nt0.46619873444729243/300/200",5,"Pekerjaan sangat rapi dan teknisi ramah."
2015,1,5,8,2026-02-17 05:30:48,Selesai,50000,10000,70000,80000,"https://picsum.photos/seed/krs0.4830988149126949/300/200","https://picsum.photos/seed/nt0.017078078832864052/300/200",5,"Teknisi datang tepat waktu, masalah cepat selesai."
2016,6,7,6,2025-10-02 21:58:18,Selesai,50000,430000,90000,520000,"https://picsum.photos/seed/krs0.6771711389589973/300/200","https://picsum.photos/seed/nt0.020569899160314598/300/200",5,"Sedikit terlambat tapi hasil kerjanya bagus."
2017,1,3,4,2026-05-29 07:13:39,Selesai,50000,90000,220000,310000,"https://picsum.photos/seed/krs0.13770474883765615/300/200","https://picsum.photos/seed/nt0.5025738352359275/300/200",5,"Harga sesuai dengan kualitas. Sangat memuaskan."
2018,1,3,6,2026-04-04 05:42:57,Selesai,50000,440000,70000,510000,"https://picsum.photos/seed/krs0.2334259503782694/300/200","https://picsum.photos/seed/nt0.26850019717772/300/200",5,"Lumayan, AC sudah dingin kembali."
2019,1,5,8,2025-05-09 16:08:19,Selesai,50000,400000,130000,530000,"https://picsum.photos/seed/krs0.15107452338546257/300/200","https://picsum.photos/seed/nt0.6469774373810101/300/200",5,"Lumayan, AC sudah dingin kembali."
2020,1,7,4,2025-06-23 16:44:13,Selesai,50000,400000,220000,620000,"https://picsum.photos/seed/krs0.2882809771188317/300/200","https://picsum.photos/seed/nt0.47157484822984774/300/200",5,"Sangat profesional dan cepat tanggap."
2021,1,1,3,2025-07-21 01:17:39,Selesai,50000,100000,230000,330000,"https://picsum.photos/seed/krs0.4916203472915981/300/200","https://picsum.photos/seed/nt0.9385846031612352/300/200",5,"Luar biasa, sparepart diganti dengan yang ori."
2022,6,4,6,2026-03-16 13:46:01,Selesai,50000,490000,240000,730000,"https://picsum.photos/seed/krs0.9249560944173227/300/200","https://picsum.photos/seed/nt0.6412471110037349/300/200",4,"Kerja cepat dan bersih."
2023,1,6,2,2025-04-05 22:17:38,Selesai,50000,250000,190000,440000,"https://picsum.photos/seed/krs0.724062948452924/300/200","https://picsum.photos/seed/nt0.3088988690972597/300/200",5,"Sedikit terlambat tapi hasil kerjanya bagus."
2024,1,7,3,2026-01-31 19:06:35,Selesai,50000,90000,80000,170000,"https://picsum.photos/seed/krs0.05869032200714508/300/200","https://picsum.photos/seed/nt0.49812091730000096/300/200",5,"Sedikit terlambat tapi hasil kerjanya bagus."
2025,1,1,1,2026-02-22 10:49:11,Selesai,50000,370000,210000,580000,"https://picsum.photos/seed/krs0.16133701249332844/300/200","https://picsum.photos/seed/nt0.5431579639295085/300/200",5,"Lumayan, AC sudah dingin kembali."
2026,1,2,6,2025-03-29 10:35:50,Selesai,50000,160000,60000,220000,"https://picsum.photos/seed/krs0.7227909863739753/300/200","https://picsum.photos/seed/nt0.03294924218011375/300/200",4,"Kerja cepat dan bersih."
2027,1,2,2,2025-07-03 06:14:22,Selesai,50000,320000,170000,490000,"https://picsum.photos/seed/krs0.9201278416666496/300/200","https://picsum.photos/seed/nt0.9598333345931155/300/200",5,"Lumayan, AC sudah dingin kembali."
2028,1,4,3,2026-01-10 19:18:06,Selesai,50000,410000,60000,470000,"https://picsum.photos/seed/krs0.7683732378790261/300/200","https://picsum.photos/seed/nt0.6644747325175032/300/200",5,"Sedikit terlambat tapi hasil kerjanya bagus."
2029,6,3,5,2025-01-27 07:40:41,Selesai,50000,300000,220000,520000,"https://picsum.photos/seed/krs0.8193445449089541/300/200","https://picsum.photos/seed/nt0.3681501109960513/300/200",5,"Sedikit terlambat tapi hasil kerjanya bagus."
2030,1,2,5,2025-05-13 04:14:01,Selesai,50000,270000,140000,410000,"https://picsum.photos/seed/krs0.749178564188154/300/200","https://picsum.photos/seed/nt0.45598926493892533/300/200",4,"Kerja cepat dan bersih."
2031,6,6,8,2026-03-05 03:31:11,Selesai,50000,70000,140000,210000,"https://picsum.photos/seed/krs0.42647622548947395/300/200","https://picsum.photos/seed/nt0.17167119678203258/300/200",5,"Pekerjaan sangat rapi dan teknisi ramah."
2032,6,2,8,2025-01-08 23:20:23,Selesai,50000,380000,130000,510000,"https://picsum.photos/seed/krs0.986277617414289/300/200","https://picsum.photos/seed/nt0.2911933425610802/300/200",5,"Sedikit terlambat tapi hasil kerjanya bagus."
2033,6,2,3,2025-12-21 06:13:55,Selesai,50000,350000,70000,420000,"https://picsum.photos/seed/krs0.2420844934852283/300/200","https://picsum.photos/seed/nt0.2755132767670474/300/200",5,"Lumayan, AC sudah dingin kembali."
2034,6,6,8,2025-11-15 19:28:58,Selesai,50000,20000,70000,90000,"https://picsum.photos/seed/krs0.30864229492330286/300/200","https://picsum.photos/seed/nt0.3457667432548148/300/200",5,"Sangat profesional dan cepat tanggap."
2035,6,7,8,2026-03-06 16:05:19,Selesai,50000,380000,60000,440000,"https://picsum.photos/seed/krs0.18618981607819074/300/200","https://picsum.photos/seed/nt0.2080107461548839/300/200",5,"Lumayan, AC sudah dingin kembali."
2036,1,4,4,2025-05-09 17:57:09,Selesai,50000,440000,130000,570000,"https://picsum.photos/seed/krs0.9925465170890213/300/200","https://picsum.photos/seed/nt0.5922678281825122/300/200",5,"Luar biasa, sparepart diganti dengan yang ori."
2037,1,7,5,2026-01-29 17:40:36,Selesai,50000,230000,150000,380000,"https://picsum.photos/seed/krs0.09172611474583803/300/200","https://picsum.photos/seed/nt0.06053677043531025/300/200",5,"Teknisi datang tepat waktu, masalah cepat selesai."
2038,1,7,8,2026-03-02 00:38:53,Selesai,50000,280000,190000,470000,"https://picsum.photos/seed/krs0.7017737295082969/300/200","https://picsum.photos/seed/nt0.9199253614909116/300/200",5,"Sedikit terlambat tapi hasil kerjanya bagus."
2039,1,4,2,2024-12-31 19:19:32,Selesai,50000,120000,230000,350000,"https://picsum.photos/seed/krs0.5318802931474113/300/200","https://picsum.photos/seed/nt0.31743833914014363/300/200",5,"Pekerjaan sangat rapi dan teknisi ramah."
2040,6,7,5,2026-05-19 18:42:18,Selesai,50000,140000,180000,320000,"https://picsum.photos/seed/krs0.3945865926775075/300/200","https://picsum.photos/seed/nt0.18350839988654088/300/200",4,"Harga sesuai dengan kualitas. Sangat memuaskan."
2041,6,2,4,2025-03-20 10:23:19,Selesai,50000,390000,60000,450000,"https://picsum.photos/seed/krs0.43048640583928444/300/200","https://picsum.photos/seed/nt0.9966604158175916/300/200",5,"Pekerjaan sangat rapi dan teknisi ramah."
